short_desc,severity
scrapbook scrap page editor java keybindings,normal
saved eml file tbird already open messages creates infinitely spawning message windows forcing kill tbird,critical
rcp terminates without exception output,critical
f help associated new managed project wizard,critical
propertiesview minmax data getting disappeared maximizing property view,major
thunderbird downloaded thousands emails blue exact server help,major
package explorer layout saved,minor
compileroptionswarningoptionnames optionreportrawtypereference missing,trivial
text menu items aligned items icons,normal
working sets internationalized icons extension point orgeclipseuiworkingsets,normal
commands errors duplicate log entry command warnings,trivial
code compiles javac rejected eclipse method applicable,minor
eclipse context gc unused trackablecomputationext objects,major
add support resultspan property results,normal
internal error showing internal error,normal
commands workbenchrestart throws null pointer,critical
formatter new formatter fails formatting multiple field declarations using kclassbodydeclaration kind,normal
npe jdt causing arguments fail ctrlclick f,normal
swtexception launch tab change,minor
labels jre launch tab use sentence style,trivial
extract function incorrectly extracts case statement label switch statements,minor
remove obsoleted orgobjenesis references,major
search test testbug failing test machines,normal
editors editor test failing vista,normal
need better message progress monitor blocked,normal
breakpoint set via debugger console displayed breakpoints view,major
error couldnt find per display information,major
extract method preview shows useless scrollbar,trivial
external tools npe target name,critical
plan item resolver model changes,normal
tvttct plk ignore certain pragmas problem question,minor
mising icon error annotation rollover,normal
implementation deleting source folder leaks file handle,trivial
strange name unresolved jre,normal
compiler syntax error hard understand annotation static block,minor
crash opening auto completion widget orgeclipseswtinternalmozillaxpcomnsinitxpcomjjji,critical
junit shellsetactive test fails,normal
refactoring moving classes linked resources corrupts java source,major
help pages external eclipse website,trivial
wrong drawing behaviour using swt cairo drawing textlayout oval,major
wrong since tags iextension iextensionpoint,trivial
bringing context menu repeatedly using keyboard controlspacebar crashes thunderbird nsmenupopupframeadjustclientxyfornesteddocuments,critical
resize eventoswmsize lost complex ui,major
add firefox sync tour onboarding overlay,normal
dialogs apply button position inconsistent debug configurations project properties dialogs,minor
cant open attachments forwarded mailmessagerfc part forwarded mail opened stand alone windowdisplay attachments inline disabled,major
source code feature add copy constructor,minor
ide change keyboard shortcut build,minor
cout cerr follow code flow,normal
content assist cce import,normal
cant import referenced libraries projects build path,major
keyboard navigation possible,major
camel case underscores translation keys handled unintuitively e translation service,minor
ignored word gets reselected replace following word,major
highlevel ui control major feature changes tb tb,normal
orgeclipsejdtuitestspluginxml contains reference nonexistent class,trivial
nls tooling wrong syntax coloring properties file editor,minor
binaries recognized imported standard make project closereopen,major
classic theme display control attached toolbar item,normal
formatter formatting pre tag javadoc using sourceformat,minor
project reference lost longer load perspectives views,critical
model aioob breakpoints view,normal
class moved default package formatting,trivial
problems encountered text search file bogus charset,minor
ensure updated wnp shown trailhead dot release aka,critical
tooltips appearing properly,major
javadoc gotolasteditpositionactions javadoc references internal type,trivial
undo delete message marks message read,critical
